"id","code","name","account_type","reconcile","chart_template_id/id","tag_ids/id"
"chart01001","010.01","Grunty","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_A"
"chart01002","010.02","Budynki i budowle","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_B"
"chart01003","010.03","Urządzenia techniczne i maszyny","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_C"
"chart01004","010.04","Środki transportu","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_D"
"chart01005","010.05","Inne środki trwałe","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_E"
"chart02001","020.01","Zakończone prace rozwojowe","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_I_1"
"chart02002","020.02","Wartość firmy","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_I_2"
"chart02003","020.03","Inne WNiP","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_I_3"
"chart07101","071.01","Umorzenie Grunty","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_A"
"chart07102","071.02","Umorzenie Budynki i budowle","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_B"
"chart07103","071.03","Umorzenie Urządzenia techniczne i maszyny","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_C"
"chart07104","071.04","Umorzenie Środki transportu","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_D"
"chart07105","071.05","Umorzenie Inne środki trwałe","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_1_E"
"chart07201","072.01","Umorzenie Prace rozwojowe","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_I_1"
"chart07202","072.02","Umorzenie Wartość firmy","asset_non_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_I_2"
"chart07203","072.03","Umorzenie inne WNiP","asset_non_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_I_3"
"chart08001","080.01","Środki trwałe w budowie Zakup","asset_fixed","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_A_II_2"
"chart10101","101.01","Kasa PLN","asset_cash","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart13001","130.01","Rachunek bieżący PLN","asset_cash","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart13002","130.97","Nieuzgodnione pozycje wyciągów","asset_cash","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart13003","130.98","Przychodzące wpłaty","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_II_3_E"
"chart13004","130.99","Wychodzące płatności","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
"chart13101","131.01","Rachunek VAT","asset_cash","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_III_1_C_1"
"chart14901","149.01","Środki pieniężne w drodze","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_III_1_C_2"
"chart20001","200.01","Krajowe należności za dostawy","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart20002","200.02","Zagraniczne należności za dostawy","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart20501","205.01","Krajowe zobowiązania za dostawy","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_D_1"
"chart20502","205.02","Zagraniczne zobowiązania za dostawy","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_D_1"
"chart21101","210.02","Należności ze sprzedaży POS","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_A_1"
"chart22001","220.01","Rozrachunki budżetowe Podatek dochodowy od osób prawnych CIT","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22002","220.02","Rozrachunki budżetowe Podatek dochodowy od osób fizycznych PIT 4","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22003","220.03","Rozrachunki budżetowe Podatek dochodowy od osób fizycznych PIT 8","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22004","220.04","Rozrachunki budżetowe PFRON","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22005","220.05","Rozrachunki budżetowe Podatki lokalne","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22006","220.06","Rozrachunki z urzędem celnym","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22007","220.07","Rozrachunki z ZUS","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22099","220.99","Rozrachunki budżetowe Należności do bilansu","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22101","221.01","VAT należny bieżacy","liability_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22102","221.02","VAT naliczony bieżący","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22103","221.03","VAT naliczony odroczony","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart22104","221.04","VAT należny odroczony","liability_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22108","221.08","Rozliczenie z urzędem skarbowym podatku VAT - zobowiązania","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_G"
"chart22109","221.09","Rozliczenie z urzędem skarbowym podatku VAT - należności","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_B"
"chart231","231","Rozrachunki z pracownikami z tytułu wynagrodzeń","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_H"
"chart23401","234.01","Inne rozrachunki z pracownikami - zobowiązania","liability_payable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_III_3_I"
"chart23402","234.02","Inne rozrachunki z pracownikami - należności","asset_receivable","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
"chart242","242","Rozliczenie inwentaryzacji","asset_current","False","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
"chart24901","249.01","Inne rozrachunki Ubezpieczenie pracowników","liability_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Pasywa_B_II_3_E"
"chart24902","249.02","Inne rozrachunki Ubezpieczenia należności z rozliczeń za szkody","asset_current","True","l10n_pl_trilab.pl_trilab_chart_template","trilab_pl_reports.Aktywa_B_II_3_C"
