"id","name","code_prefix_start","code_prefix_end","chart_template_id/id"
"agchart010","Środki trwałe","010","010","l10n_pl_trilab.pl_trilab_chart_template"
"agchart020","Wartości niematerialne i prawne","020","020","l10n_pl_trilab.pl_trilab_chart_template"
"agchart071","Umorzenie środków trwałych","071","071","l10n_pl_trilab.pl_trilab_chart_template"
"agchart072","Umorzenie wartości niematerialnych","072","072","l10n_pl_trilab.pl_trilab_chart_template"
"agchart080","Inwestycje w toku","080","080","l10n_pl_trilab.pl_trilab_chart_template"
"agchart101","Kasa","101","101","l10n_pl_trilab.pl_trilab_chart_template"
"agchart130","Bieżące rachunki bankowe","130","130","l10n_pl_trilab.pl_trilab_chart_template"
"agchart131","Pomocnicze rachunki bankowe","131","131","l10n_pl_trilab.pl_trilab_chart_template"
"agchart149","Środki pieniężne w drodze","149","149","l10n_pl_trilab.pl_trilab_chart_template"
"agchart200","Należności za dostawy","200","204","l10n_pl_trilab.pl_trilab_chart_template"
"agchart205","Zobowiazania za dostawy","205","209","l10n_pl_trilab.pl_trilab_chart_template"
"agchart211","Inne należności handlowe","211","214","l10n_pl_trilab.pl_trilab_chart_template"
"agchart220","Rozrachunki budżetowe","220","220","l10n_pl_trilab.pl_trilab_chart_template"
"agchart221","Rozliczenie VAT","221","221","l10n_pl_trilab.pl_trilab_chart_template"
"agchart222","Rozrachunki celne","222","222","l10n_pl_trilab.pl_trilab_chart_template"
"agchart224","Rozrachunki z ZUS","224","224","l10n_pl_trilab.pl_trilab_chart_template"
"agchart229","Należności budżetowe do bilansu","229","229","l10n_pl_trilab.pl_trilab_chart_template"
"agchart231","Rozrachunki z tytułu wynagrodzeń","231","231","l10n_pl_trilab.pl_trilab_chart_template"
"agchart234","Rozrachunki z pracownikami","234","234","l10n_pl_trilab.pl_trilab_chart_template"
"agchart242","Rozliczenie inwentaryzacji","242","242","l10n_pl_trilab.pl_trilab_chart_template"
"agchart249","Inne rozliczenia","249","249","l10n_pl_trilab.pl_trilab_chart_template"
"agchart250","Rozrachunki z właścicielami","250","250","l10n_pl_trilab.pl_trilab_chart_template"
"agchart270","Odpisy aktualizujace aktywa","270","270","l10n_pl_trilab.pl_trilab_chart_template"
